Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
15:55:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,,Office areas,One way,Tangent road with mild grade and flat terrain,Y Shape,Other,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Moving Backward,Driver or rider,Female,Over 51,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
22:00:00,Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Turnover,Pedestrian,Male,31-50,3,Self-employed,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,Slight Injury
9:57:00,Thursday,Over 51,Female,Above high school,Employee,No Licence,Stationwagen,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
22:40:00,Saturday,18-30,Male,Elementary school,Owner,2-5yr,Automobile,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,,2,1,Moving Backward,Pedestrian,Female,31-50,3,,,Not a Pedestrian,Other,Slight Injury
18:50:00,Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
16:50:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
17:43:00,Wednesday,18-30,Male,Elementary school,Owner,5-10yr,,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:25:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,3,Other,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
1:50:00,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,1-2yr,,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
19:15:00,Saturday,Over 51,Male,Elementary school,Employee,5-10yr,Long lorry,,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
10:10:00,Sunday,18-30,Male,Elementary school,Owner,2-5yr,Stationwagen,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
11:45:00,Sunday,18-30,Male,Junior high school,Owner,Below 1yr,Other,Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:00:00,Sunday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
17:50:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:00:00,Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Female,31-50,2,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
1:56:00,Saturday,Under 18,Male,Junior high school,Owner,2-5yr,,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Getting off,Pedestrian,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:00:00,Sunday,Under 18,Male,High school,Employee,2-5yr,Automobile,,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
12:10:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving to the left,Slight Injury
17:40:00,Monday,Under 18,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7:50:00,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
22:02:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,U-Turn,na,na,na,na,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
12:32:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Other,Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury
13:10:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overloading,Slight Injury
12:48:00,Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18:16:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Female,Over 51,2,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
10:49:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
18:30:00,Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,,Owner,1-2yr,No defect,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,1,Other,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
15:30:00,Friday,Over 51,Male,Junior high school,Owner,5-10yr,,Owner,1-2yr,No defect,,Undivided Two way,Tangent road with flat terrain,,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:12:00,Saturday,Unknown,Female,Junior high school,Employee,2-5yr,Taxi,Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
8:49:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Ridden horse,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
2:15:00,Saturday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving under the influence of drugs,Serious Injury
10:37:00,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,U-Turn,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
20:32:00,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Overtaking,na,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
11:37:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
23:45:00,Friday,Unknown,Female,Junior high school,Employee,2-5yr,Public (12 seats),Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
17:45:00,Thursday,18-30,Male,High school,Employee,2-5yr,Other,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Entering a junction,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury
20:03:00,Saturday,31-50,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,2-5yrs,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,,,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
17:27:00,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,, Church areas,other,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
14:33:00,Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Above 10yr,,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
3:40:00,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Other,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
8:15:00,Wednesday,31-50,Male,,,,Stationwagen,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:00:00,Monday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,,Wet or damp,Daylight,Other,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
10:25:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
19:13:00,Tuesday,18-30,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,31-50,3,Employee,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury
19:19:00,Friday,Over 51,Male,High school,Employee,1-2yr,Motorcycle,Organization,Unknown,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
17:45:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Female,31-50,3,,Normal,Not a Pedestrian,Other,Slight Injury
15:00:00,Sunday,31-50,Male,,Owner,Below 1yr,Taxi,Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:30:00,Thursday,Unknown,Male,,,,Automobile,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
17:10:00,Wednesday,18-30,Male,,,,Automobile,Owner,Above 10yr,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
16:02:00,Sunday,18-30,Male,Junior high school,Employee,Below 1yr,,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,Over 51,3,,,Not a Pedestrian,No distancing,Slight Injury
